Title,Author,Rating,Rating Count,Genres
The Paris Apartment,Lucy Foley,3.68,411574,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']"
House of Sky and Breath,Sarah J. Maas,4.51,263690,"['Fantasy', 'Romance', 'Fae', 'Adult', 'Fantasy Romance', 'Fiction', 'Urban Fantasy']"
Black Cake,Charmaine Wilkerson,4.11,133460,"['Fiction', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Mystery', 'Literary Fiction', 'Adult']"
Cleopatra and Frankenstein,Coco Mellors,3.82,62003,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Adult', 'Mental Health', 'Audiobook']"
The Soulmate Equation,Christina Lauren,4.02,196788,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Audiobook', 'Adult', 'Chick Lit']"
The Girl Who Fell Beneath the Sea,Axie Oh,4.14,48119,"['Fantasy', 'Young Adult', 'Romance', 'Mythology', 'Fiction', 'Retellings', 'Young Adult Fantasy']"
Good Girl Complex,Elle Kennedy,3.58,82626,"['Romance', 'Contemporary', 'New Adult', 'Contemporary Romance', 'Fiction', 'Audiobook', 'College']"
Terms and Conditions,Lauren Asher,4.18,226157,"['Romance', 'Contemporary', 'Contemporary Romance', 'Adult', 'Fiction', 'New Adult', 'Audiobook']"
Delilah Green Doesn't Care,Ashley Herring Blake,4.13,59433,"['Romance', 'LGBT', 'Lesbian', 'Queer', 'Contemporary', 'Fiction', 'Adult']"
The Christie Affair,Nina de Gramont,3.73,68327,"['Historical Fiction', 'Mystery', 'Fiction', 'Audiobook', 'Historical', 'Romance', 'Mystery Thriller']"
This Woven Kingdom,Tahereh Mafi,4.02,35607,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fiction', 'Mythology', 'Fantasy Romance']"
Reminders of Him,Colleen Hoover,4.42,984504,"['Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Adult', 'Audiobook', 'New Adult']"
Things We Never Got Over,Lucy Score,4.21,532342,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Adult', 'Chick Lit', 'New Adult']"
The Maid,Nita Prose,3.8,415539,"['Mystery', 'Fiction', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Crime', 'Contemporary']"
A Flicker in the Dark,Stacy Willingham,4.01,270574,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Crime']"
Heartstopper: Volume Four,Alice Oseman,4.63,324420,"['Graphic Novels', 'Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Comics']"
Daughter of the Moon Goddess,Sue Lynn Tan,4.14,63254,"['Fantasy', 'Romance', 'Mythology', 'Young Adult', 'Fiction', 'Retellings', 'Young Adult Fantasy']"
Hunting Adeline,H.D. Carlton,4.18,151008,"['Romance', 'Dark', 'Thriller', 'Contemporary', 'Adult', 'Fantasy', 'Horror']"
The School for Good Mothers,Jessamine Chan,3.55,86140,"['Fiction', 'Dystopia', 'Science Fiction', 'Audiobook', 'Contemporary', 'Adult', 'Literary Fiction']"
Notes on an Execution,Danya Kukafka,4.11,63906,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Contemporary', 'Audiobook', 'Crime']"
How High We Go in the Dark,Sequoia Nagamatsu,3.85,42313,"['Science Fiction', 'Fiction', 'Dystopia', 'Short Stories', 'Fantasy', 'Audiobook', 'Speculative Fiction']"
Violeta,Isabel Allende,4.03,64810,"['Historical Fiction', 'Fiction', 'Historical', 'Magical Realism', 'Literary Fiction', 'Audiobook', 'Adult']"
Reckless Girls,Rachel Hawkins,3.58,108217,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult']"
Lore,Alexandra Bracken,3.77,81017,"['Fantasy', 'Mythology', 'Young Adult', 'Greek Mythology', 'Fiction', 'Retellings', 'Young Adult Fantasy']"
Concrete Rose,Angie Thomas,4.4,55237,"['Young Adult', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Historical Fiction', 'Race']"
The Off Limits Rule,Sarah Adams,3.69,36772,"['Romance', 'Contemporary', 'Audiobook', 'Contemporary Romance', 'Fiction', 'Adult', 'Chick Lit']"
The Spanish Love Deception,Elena  Armas,3.87,587459,"['Contemporary', 'Adult', 'Chick Lit', 'New Adult', 'Audiobook', 'Adult Fiction', 'Young Adult']"
The Four Winds,Kristin Hannah,4.3,576803,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Adult', 'Adult Fiction', 'Book Club']"
A Court of Silver Flames,Sarah J. Maas,4.45,662479,"['Fantasy', 'Romance', 'Fiction', 'New Adult', 'Fae', 'Fantasy Romance', 'Adult']"
The Paris Library,Janet Skeslien Charles,4.08,111094,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'Books About Books', 'Audiobook', 'France']"
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,4.23,81911,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Audiobook', 'Leadership']"
The Sanatorium,Sarah  Pearse,3.37,153379,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Crime', 'Horror']"
The Four Winds,Kristin Hannah,4.3,576803,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'Adult', 'Adult Fiction', 'Book Club']"
The Witch's Heart,Genevieve Gornichec,4.06,42924,"['Fantasy', 'Mythology', 'Fiction', 'Retellings', 'Romance', 'Witches', 'Adult']"
Finlay Donovan Is Killing It,Elle Cosimano,4.03,130966,"['Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Contemporary', 'Adult']"
Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,4.43,74824,"['Memoir', 'Nonfiction', 'Audiobook', 'Biography', 'Biography Memoir', 'Travel', 'Health']"
The Gilded Ones,Namina Forna,4.01,42831,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Feminism', 'High Fantasy', 'Audiobook']"
Open Water,Caleb Azumah Nelson,4.08,48404,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Race', 'Adult', 'Novella']"
The Lost Apothecary,Sarah Penner,3.76,316641,"['Historical Fiction', 'Fiction', 'Mystery', 'Fantasy', 'Historical', 'Audiobook', 'Adult']"
Klara and the Sun,Kazuo Ishiguro,3.76,293740,"['Science Fiction', 'Audiobook', 'Literary Fiction', 'Fantasy', 'Dystopia', 'Contemporary', 'Adult']"
The Rose Code,Kate Quinn,4.46,210874,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Mystery', 'War']"
