Title,Author,Rating,Rating Count,Genres
This Time Next Year,Sophie Cousens,3.82,83401,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Christmas', 'Holiday', 'Audiobook']"
The Last Of The Moon Girls,Barbara  Davis,4.2,56547,"['Fiction', 'Mystery', 'Fantasy', 'Magical Realism', 'Romance', 'Mystery Thriller', 'Contemporary']"
Migrations,Charlotte McConaghy,4.15,63013,"['Fiction', 'Science Fiction', 'Literary Fiction', 'Contemporary', 'Audiobook', 'Nature', 'Dystopia']"
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82,85931,"['Nonfiction', 'Biography', 'Politics', 'Memoir', 'Audiobook', 'History', 'Psychology']"
Today Tonight Tomorrow,Rachel Lynn Solomon,4.12,67587,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Young Adult Romance', 'Young Adult Contemporary']"
0Loveless,Alice Oseman,4.24,85128,"['LGBT', 'Contemporary', 'Young Adult', 'Queer', 'Fiction', 'Romance', 'Audiobook']"
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82,85931,"['Nonfiction', 'Biography', 'Politics', 'Memoir', 'Audiobook', 'History', 'Psychology']"
None of This Is True,Lisa Jewell,4.34,19234,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Crime', 'Audiobook']"
The Brothers Hawthorne,Jennifer Lynn Barnes,4.38,636,"['Mystery', 'Young Adult', 'Mystery Thriller', 'Fantasy', 'Fiction', 'Romance', 'Contemporary']"
Tom Lake,Ann Patchett,4.38,9229,"['Fiction', 'Literary Fiction', 'Historical Fiction', 'Romance', 'Audiobook', 'Contemporary', 'Family']"
Good Bad Girl,Alice Feeney,3.9,1644,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Adult', 'Audiobook']"
The Invisible Hour,Alice Hoffman,3.92,1300,"['Fiction', 'Historical Fiction', 'Magical Realism', 'Fantasy', 'Books About Books', 'Historical', 'Literary Fiction']"
What Never Happened,Rachel Howzell Hall,3.74,8372,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Crime']"
Bright Young Women,Jessica Knoll,4.03,291,"['Thriller', 'Fiction', 'Mystery', 'Historical Fiction', 'Mystery Thriller', 'Adult', 'Crime']"
A Study in Drowning,Ava Reid,4.36,667,"['Fantasy', 'Young Adult', 'Gothic', 'Romance', 'Mystery', 'Young Adult Fantasy', 'Thriller']"
Children of Anguish and Anarchy,Tomi Adeyemi,4.37,227,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Romance', 'High Fantasy', 'Magic']"
Nineteen Steps,Millie Bobby Brown,4.02,43,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Thriller', 'Adult', 'Fantasy']"
Sinners Atone,Somme Sketcher,4.21,194,"['Romance', 'Dark', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Fiction']"
To Die For,Lisa Gray,4.02,7914,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Contemporary', 'Suspense', 'Audiobook']"
Cleat Cute,Meryl Wilsner,3.99,750,"['Romance', 'LGBT', 'Lesbian', 'Queer', 'Contemporary', 'Sports', 'Adult']"
A Curse for True Love,Stephanie Garber,4.8,1017,"['Fantasy', 'Romance', 'Young Adult', 'Fantasy Romance', 'Young Adult Fantasy', 'Fiction', 'Magic']"
Wildfire,Hannah  Grace,4.27,602,"['Romance', 'Sports Romance', 'Contemporary', 'Contemporary Romance', 'Sports', 'New Adult', 'Fiction']"
King of Greed,Ana Huang,4.48,352,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Fantasy', 'Fiction', 'New Adult']"
Sword Catcher,Cassandra Clare,4.1,307,"['Fantasy', 'Young Adult', 'Adult', 'Romance', 'High Fantasy', 'Young Adult Fantasy', 'Fiction']"
A Fire in the Flesh,Jennifer L. Armentrout,4.6,497,"['Fantasy', 'Romance', 'Fantasy Romance', 'New Adult', 'High Fantasy', 'Paranormal', 'Fiction']"
Caught Up,Liz Tomforde,4.63,125,"['Romance', 'Sports Romance', 'Sports', 'Contemporary Romance', 'Contemporary', 'Hockey', 'New Adult']"
The Exchange: After The Firm,John Grisham,4.05,64,"['Fiction', 'Mystery', 'Mystery Thriller', 'Thriller', 'Legal Thriller', 'Suspense', 'Contemporary']"
Savannah Blues,Mary Kay Andrews,3.99,23317,"['Chick Lit', 'Mystery', 'Fiction', 'Romance', 'Southern', 'Humor', 'Contemporary']"
What the River Knows,Isabel Ibañez,4.2,645,"['Fantasy', 'Historical Fiction', 'Young Adult', 'Romance', 'Mystery', 'Historical', 'Fiction']"
The First to Die at the End,Adam Silvera,4.04,55321,"['Romance', 'LGBT', 'Young Adult', 'Fiction', 'Queer', 'Contemporary', 'Fantasy']"
A Winter in New York,Josie Silver,4.21,278,"['Romance', 'Christmas', 'Holiday', 'Contemporary', 'Fiction', 'Chick Lit', 'Adult']"
The Unmaking of June Farrow,Adrienne Young,4.48,229,"['Fantasy', 'Mystery', 'Magical Realism', 'Fiction', 'Adult', 'Mystery Thriller', 'Romance']"
Iris Kelly Doesn't Date,Ashley Herring Blake,4.37,289,"['Romance', 'LGBT', 'Lesbian', 'Queer', 'Contemporary', 'Adult', 'Fiction']"
Hopeless,Elsie Silver,4.55,75,"['Romance', 'Contemporary Romance', 'Contemporary', 'Westerns', 'Sports Romance', 'New Adult']"
